epoch,batch,step,train_loss,learning_rate
0,1,1,1.8424930572509766,1.009e-05
0,50,50,1.7434171438217163,1.4499999999999995e-05
0,100,100,1.499578833580017,1.8999999999999998e-05
0,150,150,1.450979232788086,2.3500000000000002e-05
0,200,200,1.420780062675476,2.7999999999999993e-05
0,250,250,1.3415471315383911,3.2499999999999984e-05
0,300,300,1.4320629835128784,3.6999999999999985e-05
0,350,350,1.3302456140518188,4.1499999999999965e-05
0,400,400,1.1883647441864014,4.599999999999992e-05
0,450,450,1.3568693399429321,5.0499999999999886e-05
0,500,500,0.9716185927391052,5.499999999999991e-05
0,550,550,1.1606076955795288,5.949999999999986e-05
0,600,600,0.972255527973175,6.399999999999986e-05
0,650,650,1.3508483171463013,6.849999999999986e-05
1,30,700,1.0687190294265747,7.299999999999977e-05
1,80,750,1.1000808477401733,7.749999999999981e-05
1,130,800,0.898943305015564,8.199999999999976e-05
1,180,850,0.928499162197113,8.649999999999974e-05
1,230,900,1.0293198823928833,9.09999999999997e-05
1,280,950,1.2307922840118408,9.549999999999968e-05
1,330,1000,1.163586974143982,9.999999999999964e-05
1,380,1050,0.8022286891937256,9.999999999999964e-05
1,430,1100,1.1279257535934448,9.999999999999964e-05
1,480,1150,1.2087901830673218,9.999999999999964e-05
1,530,1200,0.9837207794189453,9.999999999999964e-05
1,580,1250,0.8938324451446533,9.999999999999964e-05
1,630,1300,0.9416249990463257,9.999999999999964e-05
2,10,1350,1.0085728168487549,9.999999999999964e-05
2,60,1400,0.9596062898635864,9.999999999999964e-05
2,110,1450,0.9850232005119324,9.999999999999964e-05
2,160,1500,1.1951704025268555,9.999999999999964e-05
2,210,1550,0.933274507522583,9.999999999999964e-05
2,260,1600,0.77143394947052,9.999999999999964e-05
2,310,1650,1.0650725364685059,9.999999999999964e-05
2,360,1700,0.9618301391601562,9.999999999999964e-05
2,410,1750,1.0839014053344727,9.999999999999964e-05
2,460,1800,1.0870873928070068,9.999999999999964e-05
2,510,1850,1.1665202379226685,9.999999999999964e-05
2,560,1900,0.9879919290542603,9.999999999999964e-05
2,610,1950,1.6304620504379272,9.999999999999964e-05
2,660,2000,1.0175225734710693,9.999999999999964e-05
3,40,2050,1.1196397542953491,9.999999999999964e-05
3,90,2100,0.9896424412727356,9.999999999999964e-05
3,140,2150,0.8650424480438232,9.999999999999964e-05
3,190,2200,0.6504372358322144,9.999999999999964e-05
3,240,2250,1.0957890748977661,9.999999999999964e-05
3,290,2300,1.2801833152770996,9.999999999999964e-05
3,340,2350,0.8482326865196228,9.999999999999964e-05
3,390,2400,0.8631224632263184,9.999999999999964e-05
3,440,2450,1.102313756942749,9.999999999999964e-05
3,490,2500,0.9143102169036865,9.999999999999964e-05
3,540,2550,0.7624858021736145,9.999999999999964e-05
3,590,2600,1.0491726398468018,9.999999999999964e-05
3,640,2650,0.7607371211051941,9.999999999999964e-05
4,20,2700,1.0216108560562134,9.999999999999964e-05
4,70,2750,0.7270100712776184,9.999999999999964e-05
4,120,2800,0.973312258720398,9.999999999999964e-05
4,170,2850,0.9385990500450134,9.999999999999964e-05
4,220,2900,0.9404259324073792,9.999999999999964e-05
4,270,2950,0.9042660593986511,9.999999999999964e-05
4,320,3000,0.7785329222679138,9.999999999999964e-05
4,370,3050,1.1245843172073364,9.999999999999964e-05
4,420,3100,0.9701299667358398,9.999999999999964e-05
4,470,3150,0.9503195285797119,9.999999999999964e-05
4,520,3200,1.0105957984924316,9.999999999999964e-05
4,570,3250,0.8755550384521484,9.999999999999964e-05
4,620,3300,1.000165343284607,9.999999999999964e-05
4,670,3350,1.0509495735168457,9.999999999999964e-05
5,50,3400,0.8815662264823914,9.999999999999964e-05
5,100,3450,0.925851583480835,9.999999999999964e-05
5,150,3500,0.9391236901283264,9.999999999999964e-05
5,200,3550,0.79024338722229,9.999999999999964e-05
5,250,3600,0.8664480447769165,9.999999999999964e-05
5,300,3650,1.2444608211517334,9.999999999999964e-05
5,350,3700,0.9535279870033264,9.999999999999964e-05
5,400,3750,1.1359810829162598,9.999999999999964e-05
