epoch,batch,step,train_loss,learning_rate
0,1,1,1.6319401264190674,1.009e-05
0,50,50,1.5896763801574707,1.4499999999999995e-05
0,100,100,1.58156418800354,1.8999999999999998e-05
0,150,150,1.5200064182281494,2.3500000000000002e-05
0,200,200,1.5044360160827637,2.7999999999999993e-05
0,250,250,1.3241546154022217,3.2499999999999984e-05
0,300,300,1.3772398233413696,3.6999999999999985e-05
0,350,350,1.3108547925949097,4.1499999999999965e-05
0,400,400,1.3673450946807861,4.599999999999992e-05
0,450,450,1.4307875633239746,5.0499999999999886e-05
0,500,500,1.3038021326065063,5.499999999999991e-05
0,550,550,1.3324646949768066,5.949999999999986e-05
0,600,600,1.2329283952713013,6.399999999999986e-05
0,650,650,1.1753872632980347,6.849999999999986e-05
1,30,700,1.218597650527954,7.299999999999977e-05
1,80,750,1.1283447742462158,7.749999999999981e-05
1,130,800,1.123321533203125,8.199999999999976e-05
1,180,850,1.231699824333191,8.649999999999974e-05
1,230,900,1.2802106142044067,9.09999999999997e-05
1,280,950,1.3687570095062256,9.549999999999968e-05
1,330,1000,1.2188175916671753,9.999999999999964e-05
1,380,1050,1.062031626701355,9.999999999999964e-05
1,430,1100,1.1109189987182617,9.999999999999964e-05
1,480,1150,0.826750636100769,9.999999999999964e-05
1,530,1200,1.1333024501800537,9.999999999999964e-05
1,580,1250,0.8978543281555176,9.999999999999964e-05
1,630,1300,0.993546724319458,9.999999999999964e-05
2,10,1350,1.0202958583831787,9.999999999999964e-05
2,60,1400,0.9817556738853455,9.999999999999964e-05
2,110,1450,1.0078028440475464,9.999999999999964e-05
2,160,1500,0.7863609790802002,9.999999999999964e-05
2,210,1550,1.3032478094100952,9.999999999999964e-05
2,260,1600,0.8770948052406311,9.999999999999964e-05
2,310,1650,1.1068296432495117,9.999999999999964e-05
2,360,1700,0.7366577982902527,9.999999999999964e-05
2,410,1750,1.2443618774414062,9.999999999999964e-05
2,460,1800,0.8912343978881836,9.999999999999964e-05
2,510,1850,1.0254875421524048,9.999999999999964e-05
2,560,1900,0.9641870856285095,9.999999999999964e-05
2,610,1950,0.9834103584289551,9.999999999999964e-05
2,660,2000,1.1183444261550903,9.999999999999964e-05
3,40,2050,1.0028218030929565,9.999999999999964e-05
3,90,2100,0.8422703146934509,9.999999999999964e-05
3,140,2150,0.8238193988800049,9.999999999999964e-05
3,190,2200,1.0390576124191284,9.999999999999964e-05
3,240,2250,0.8178083300590515,9.999999999999964e-05
3,290,2300,0.8189159035682678,9.999999999999964e-05
3,340,2350,0.8942039608955383,9.999999999999964e-05
3,390,2400,0.8051163554191589,9.999999999999964e-05
3,440,2450,1.044971227645874,9.999999999999964e-05
