sample_index,variant_index,pitch,setting,sampler,n_steps,guidance_scale,target_harmonic,off_target_harmonic,target_ratio,margin_ratio,sample_std,sample_absmax,finite,artifact_penalty,total_score,selected
0,1,48,heun_50_gs5,heun,50,5.0,0.827794105139437,0.8368100365653393,2.2858175732823063,-0.010774167283134206,0.6421424746513367,5.768817901611328,True,0.0,5.698382682281065,True
1,1,49,heun_50_gs5,heun,50,5.0,1.1205166644716966,1.1352000258992043,2.0711763021986704,-0.012934602680730935,0.8371859192848206,7.810580253601074,True,0.0,5.15853885147558,True
2,1,50,heun_50_gs5,heun,50,5.0,0.833351415755021,0.8978168479749954,2.1190450721511658,-0.07180243013633605,0.6854894161224365,5.980175971984863,True,0.0,5.189909035173411,True
3,1,51,heun_50_gs5,heun,50,5.0,1.0579270852516582,1.13081276636007,2.086964405033264,-0.06445424267580412,0.841276228427887,7.758022308349609,True,0.0,5.120729648569453,True
4,0,52,heun_50_gs5,heun,50,5.0,1.0185006819005231,1.0233316575991789,1.9225240927313394,-0.004720830842643256,0.7593399286270142,6.994665622711182,True,0.0,4.799228985564383,True
5,2,53,heun_50_gs5,heun,50,5.0,0.8569548037799944,0.8857358477954641,2.1368827102374612,-0.032493935705734785,0.6853499412536621,7.173144817352295,True,0.0,5.293465872035051,True
6,1,54,heun_50_gs5,heun,50,5.0,1.3395569654832087,1.3735231987661043,1.7787356083072865,-0.02472927509787691,0.9680138230323792,8.841068267822266,True,0.0,4.409745108121401,True
7,2,55,heun_50_gs5,heun,50,5.0,0.7782378070722582,0.7798317500690187,2.271172578094,-0.0020439575282487224,0.6310515403747559,8.176834106445312,True,0.0,5.674865508942627,True
8,2,56,heun_50_gs5,heun,50,5.0,0.9372168147936019,0.9164786229378208,2.2279511038682,0.02262812367954908,0.72226881980896,8.028725624084473,True,0.0,5.603819945189824,True
9,2,57,heun_50_gs5,heun,50,5.0,0.7122690102408299,0.7220019856955889,2.445062948098332,-0.013480538160261077,0.6240153312683105,6.958784580230713,True,0.0,6.092436563005438,True
10,0,58,heun_50_gs5,heun,50,5.0,0.823883957863968,0.8181169810548748,2.4154657701054574,0.007049085732417318,0.6685075759887695,7.09122371673584,True,0.0,6.049238053862269,True
11,0,59,heun_50_gs5,heun,50,5.0,1.3197379292599107,1.3200833027499654,2.041376035908422,-0.00026163007040459253,0.9038592576980591,9.113118171691895,True,0.0,5.103047644665448,True
12,0,60,heun_50_gs5,heun,50,5.0,0.8473825533905057,0.8645960653019524,2.636273120567566,-0.01990931072111916,0.6611682176589966,8.21540355682373,True,0.0,6.560818835337236,True
13,1,61,heun_50_gs5,heun,50,5.0,0.8509505389138563,0.8533428287476008,2.573577568981955,-0.002803433421033365,0.6743984818458557,7.26837158203125,True,0.0,6.429738772323338,True
14,2,62,heun_50_gs5,heun,50,5.0,1.1664938023089422,1.160031815110961,2.6747080771116747,0.005570525789120552,0.8413034081459045,8.396358489990234,True,0.0,6.695125981462867,True
15,0,63,heun_50_gs5,heun,50,5.0,1.4511043077609451,1.2360171402899933,2.8987874898136683,0.17401632932074465,0.8894733190536499,7.600748062133789,True,0.0,7.507993218515288,True
16,2,64,heun_50_gs5,heun,50,5.0,1.0296702367314285,0.9976534416554902,2.9302456451376018,0.03209210074180588,0.7294522523880005,8.452193260192871,True,0.0,7.373752263956713,True
17,0,65,heun_50_gs5,heun,50,5.0,1.134737791535522,1.0431899567044982,3.1120973538117176,0.08775758754680989,0.7541570663452148,8.74442195892334,True,0.0,7.911879765849509,True
18,2,66,heun_50_gs5,heun,50,5.0,1.4783715098003363,1.3426585919037377,2.6527601997276378,0.10107775550998074,0.9020052552223206,8.820097923278809,True,0.0,6.783517132584065,True
19,1,67,heun_50_gs5,heun,50,5.0,1.148829720684146,1.1004482551864327,2.725324690236831,0.04396523401262913,0.7292970418930054,7.125791549682617,True,0.0,6.879259576611021,True
