sample_index,variant_index,pitch,setting,sampler,n_steps,guidance_scale,target_harmonic,off_target_harmonic,target_ratio,margin_ratio,sample_std,sample_absmax,finite,artifact_penalty,total_score,selected
0,0,48,heun_50_gs5,heun,50,5.0,0.9291652863662111,0.9441152110067679,1.9748645204753634,-0.015834851835790507,0.691910982131958,6.140468597412109,True,0.0,4.913409023434723,False
0,1,48,heun_50_gs5,heun,50,5.0,0.827794105139437,0.8368100365653393,2.2858175732823063,-0.010774167283134206,0.6421424746513367,5.768817901611328,True,0.0,5.698382682281065,False
0,2,48,heun_50_gs5,heun,50,5.0,0.8560129056820683,0.8711119060351188,2.1484752753844707,-0.017333020103517602,0.654711127281189,6.817831516265869,True,0.0,5.3451886583059,False
1,0,49,heun_50_gs5,heun,50,5.0,1.0563212703311975,1.0654774728286667,1.7791552456935134,-0.008593520412239004,0.7555883526802063,6.7085490226745605,True,0.0,4.434997833615425,False
1,1,49,heun_50_gs5,heun,50,5.0,1.1205166644716966,1.1352000258992043,2.0711763021986704,-0.012934602680730935,0.8371859192848206,7.810580253601074,True,0.0,5.15853885147558,False
1,2,49,heun_50_gs5,heun,50,5.0,1.1358743284753354,1.1425467145941963,1.955502570808976,-0.00583992407070333,0.8201966285705566,7.21128511428833,True,0.0,4.879996540916385,False
2,0,50,heun_50_gs5,heun,50,5.0,0.9385857385310339,0.9974346488009566,2.103744720971694,-0.05900026608326058,0.748644232749939,5.807440757751465,True,0.0,5.170861403304344,False
2,1,50,heun_50_gs5,heun,50,5.0,0.833351415755021,0.8978168479749954,2.1190450721511658,-0.07180243013633605,0.6854894161224365,5.980175971984863,True,0.0,5.189909035173411,False
2,2,50,heun_50_gs5,heun,50,5.0,1.1021522180438175,1.164779888588578,1.917804130072049,-0.05376781537924004,0.855603039264679,6.629096508026123,True,0.0,4.713858602111262,False
3,0,51,heun_50_gs5,heun,50,5.0,1.1322260564476945,1.1904340603749564,1.9245121485074181,-0.04889645329869285,0.8484963178634644,6.24828577041626,True,0.0,4.737935691320507,False
3,1,51,heun_50_gs5,heun,50,5.0,1.0579270852516582,1.13081276636007,2.086964405033264,-0.06445424267580412,0.841276228427887,7.758022308349609,True,0.0,5.120729648569453,False
3,2,51,heun_50_gs5,heun,50,5.0,1.3131536053755968,1.3941476584983519,1.9352514637441849,-0.05809574907512808,1.0013084411621094,8.381373405456543,True,0.0,4.75098503574777,False
4,0,52,heun_50_gs5,heun,50,5.0,1.0185006819005231,1.0233316575991789,1.9225240927313394,-0.004720830842643256,0.7593399286270142,6.994665622711182,True,0.0,4.799228985564383,False
4,1,52,heun_50_gs5,heun,50,5.0,1.1648698637275787,1.169067009105221,1.8039098979763772,-0.00359016661068309,0.8361232280731201,7.782931327819824,True,0.0,4.504389495024919,False
4,2,52,heun_50_gs5,heun,50,5.0,1.1351221975791712,1.1426189055590248,1.6451510872859425,-0.006560987112825648,0.8046354055404663,6.0349812507629395,True,0.0,4.103036237545618,False
5,0,53,heun_50_gs5,heun,50,5.0,0.9947624818185772,1.0234094801663847,1.9992390483307991,-0.027991726306104598,0.7453553080558777,6.556684970855713,True,0.0,4.9561100313678415,False
5,1,53,heun_50_gs5,heun,50,5.0,0.9993031654020246,1.0269493517487063,2.057177146832628,-0.02692069090885389,0.7716726660728455,7.398067951202393,True,0.0,5.10256183071829,False
