epoch,batch,step,train_loss,learning_rate
0,1,1,1.6042888164520264,1.009e-05
0,50,50,1.597857117652893,1.4499999999999995e-05
0,100,100,1.550932765007019,1.8999999999999998e-05
0,150,150,1.4586228132247925,2.3500000000000002e-05
0,200,200,1.340057134628296,2.7999999999999993e-05
0,250,250,1.509106993675232,3.2499999999999984e-05
0,300,300,1.3124068975448608,3.6999999999999985e-05
0,350,350,1.4418141841888428,4.1499999999999965e-05
0,400,400,1.3415716886520386,4.599999999999992e-05
0,450,450,1.3857707977294922,5.0499999999999886e-05
0,500,500,1.4365633726119995,5.499999999999991e-05
0,550,550,1.4261618852615356,5.949999999999986e-05
0,600,600,1.331026554107666,6.399999999999986e-05
0,650,650,1.553706169128418,6.849999999999986e-05
1,30,700,1.2959216833114624,7.299999999999977e-05
1,80,750,1.4545857906341553,7.749999999999981e-05
1,130,800,1.453978180885315,8.199999999999976e-05
1,180,850,1.5885769128799438,8.649999999999974e-05
1,230,900,1.2079161405563354,9.09999999999997e-05
1,280,950,1.2444005012512207,9.549999999999968e-05
1,330,1000,1.2669258117675781,9.999999999999964e-05
1,380,1050,1.2376497983932495,9.999999999999964e-05
1,430,1100,1.1979609727859497,9.999999999999964e-05
1,480,1150,1.4468098878860474,9.999999999999964e-05
1,530,1200,1.1139001846313477,9.999999999999964e-05
1,580,1250,1.1405388116836548,9.999999999999964e-05
1,630,1300,1.1448854207992554,9.999999999999964e-05
2,10,1350,0.9154630303382874,9.999999999999964e-05
2,60,1400,0.985859751701355,9.999999999999964e-05
2,110,1450,0.9730209112167358,9.999999999999964e-05
2,160,1500,0.940453827381134,9.999999999999964e-05
2,210,1550,1.04120671749115,9.999999999999964e-05
2,260,1600,0.8293713331222534,9.999999999999964e-05
2,310,1650,1.036116123199463,9.999999999999964e-05
2,360,1700,1.2637157440185547,9.999999999999964e-05
2,410,1750,0.8643993735313416,9.999999999999964e-05
2,460,1800,0.8804332613945007,9.999999999999964e-05
