kind,name,note_count,length_beats,length_seconds,notes_per_beat,unique_pitch_count,unique_pitch_class_count,active_instrument_count,instrument_entropy,average_polyphony,max_polyphony,mean_duration_steps,pitch_class_entropy,scale_consistency_percent,groove_consistency_percent,sequence_len,raw_note_events,unique_note_events,duplicate_note_rate,note_instrument_violation_rate,best_scale,instrument_counts
reference,test_00186,224,31.916667,15.958333,7.018277,26,9,4,1.841466,5.082245,12,17.379464,2.809807,97.321429,94.940476,,,,,,0:minor,"{""bass"": 22, ""brass"": 46, ""guitar"": 64, ""piano"": 92, ""strings"": 0}"
reference,test_00187,281,32.083333,16.041667,8.758442,28,8,4,1.026045,7.811688,11,21.405694,2.803033,98.220641,95.572917,,,,,,4:minor,"{""bass"": 9, ""brass"": 0, ""guitar"": 224, ""piano"": 24, ""strings"": 24}"
reference,test_00188,23,32.000000,16.000000,0.718750,12,8,1,-0.000000,0.617188,3,20.608696,2.772924,95.652174,97.619048,,,,,,2:major,"{""bass"": 0, ""brass"": 0, ""guitar"": 0, ""piano"": 23, ""strings"": 0}"
reference,test_00189,55,35.916667,17.958333,1.531323,10,7,3,1.584488,7.097448,10,111.236364,2.587769,100.000000,97.916667,,,,,,1:major,"{""bass"": 0, ""brass"": 0, ""guitar"": 18, ""piano"": 18, ""strings"": 19}"
reference,test_00190,147,32.083333,16.041667,4.581818,27,10,2,0.657860,2.883117,7,15.102041,2.694268,97.959184,95.182292,,,,,,1:minor,"{""bass"": 25, ""brass"": 0, ""guitar"": 0, ""piano"": 122, ""strings"": 0}"
reference,test_00191,104,32.041667,16.020833,3.245774,27,8,1,-0.000000,3.524057,8,26.057692,2.761606,95.192308,95.312500,,,,,,0:major,"{""bass"": 0, ""brass"": 0, ""guitar"": 0, ""piano"": 104, ""strings"": 0}"
reference,test_00192,118,32.000000,16.000000,3.687500,17,10,2,0.728656,2.156250,4,14.033898,2.144880,87.288136,95.833333,,,,,,4:minor,"{""bass"": 24, ""brass"": 0, ""guitar"": 94, ""piano"": 0, ""strings"": 0}"
reference,test_00193,361,33.458333,16.729167,10.789539,24,11,2,0.182727,7.444583,16,16.559557,2.895604,90.581717,73.697917,,,,,,6:minor,"{""bass"": 10, ""brass"": 0, ""guitar"": 351, ""piano"": 0, ""strings"": 0}"
reference,test_00194,331,32.000000,16.000000,10.343750,31,7,3,1.571360,6.000000,8,13.921450,2.484774,100.000000,96.577381,,,,,,2:minor,"{""bass"": 108, ""brass"": 0, ""guitar"": 130, ""piano"": 0, ""strings"": 93}"
reference,test_00195,705,32.000000,16.000000,22.031250,38,8,4,1.877469,7.718750,13,8.408511,2.405661,98.014184,97.321429,,,,,,4:minor,"{""bass"": 105, ""brass"": 0, ""guitar"": 211, ""piano"": 110, ""strings"": 279}"
