index,pitch,audio_peak,audio_rms,audio_mean
0,48,1.0,0.3610684275627136,-0.0036994547117501497
1,49,1.0,0.27265268564224243,0.00022906232334207743
2,50,1.0,0.3736638128757477,-0.0007382655167020857
3,51,1.0,0.39981889724731445,-0.0016130924923345447
4,52,1.0,0.36354851722717285,-0.0008097910322248936
5,53,1.0,0.36188697814941406,-0.0013949560234323144
6,54,1.0,0.26053568720817566,-5.187874921830371e-05
7,55,1.0,0.32086631655693054,0.0013959925854578614
8,56,1.0,0.20723478496074677,-0.0002166250633308664
9,57,1.0,0.37717771530151367,-0.00114763795863837
10,58,1.0,0.20805950462818146,-0.00012879780842922628
11,59,1.0,0.3194636404514313,0.0009406766621395946
